127.0.0.1 - - [22/Oct/2023:15:24:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:24:23 +0530] "GET /API/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:24:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:24:28 +0530] "GET /API/getStudent HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:24:34 +0530] "GET /API/getStudents HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:27:20 +0530] "GET /API/getStudents HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:27:20 +0530] "GET /API/getStudents HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:30:10 +0530] "OPTIONS /API/postStudent HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:30:12 +0530] "POST /API/postStudent HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:30:12 +0530] "GET /API/getStudents HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:30:57 +0530] "OPTIONS /API//updateData/18 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:30:57 +0530] "PUT /API//updateData/18 HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:30:58 +0530] "GET /API/getStudents HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:31:39 +0530] "OPTIONS /API/deletaData/15 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:31:40 +0530] "DELETE /API/deletaData/15 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Oct/2023:15:31:40 +0530] "GET /API/getStudents HTTP/1.1" 200 1075
